name,latitude,longitude,elevation_ft,prominence_ft,notes
Mt. Davidson,37.738232,-122.454832,915,625,In Mt. Davidson Park. Mount Davidson Cross is at the top. 270 degree views close by at Mount Davidson Vista Point.
Noe Peak,37.751552,-122.447758,905,330,South Twin Peak. 360 degree views.
Signal Point,37.809746,-122.366074,330,330,
Bayview Hill (Candlestick Hill),37.715102,-122.393452,450,320,
Forest Hill,37.748204,-122.467306,775,300,
Visitacion Knob (McLaren Ridge),37.719224,-122.421748,515,275,
Potrero Hill,37.756718,-122.399626,310,270,Residential.
Bernal Hill,37.743182,-122.415376,450,265,In Bernal Heights Park. Telecommunications tower equipment on top but can get 360 degree views by walking around it.
Merced Heights,37.718108,-122.462644,525,230,
Mount Sutro,37.757978,-122.457226,895,210,
Lincoln Heights,37.782134,-122.500210,365,210,
Stony Hill (Hunters Point Ridge),37.734416,-122.384794,265,205,Next to a preschool. Residential. Better views at Hilltop Park close by (which also has a large sundial).
Telegraph Hill,37.802186,-122.405656,285,200,In Pioneer Park. Views partially obstructed by trees on all sides. For good views ascend Coit Tower for a fee.
Strawberry Hill,37.768706,-122.475802,410,175,An island inside Blue Heron Lake in Golden Gate Park. Partially obstructed views.
Nob Hill,37.793672,-122.415196,355,175,Hilltop is on the pedestrian-only Priest Street. No view as it is obstructed by buildings.
Edgehill Heights,37.742696,-122.459188,715,160,
Mount St. Joseph,37.734074,-122.397052,240,160,Residential. Small public area nearby between 290 and 300 Bayview Circle with 90 degree views.
Lone Mountain,37.779020,-122.452654,400,155,
Lafayette Heights,37.791836,-122.427580,365,130,In Lafayette Park. Mostly unobstructed views if you walk past the trees on the top.
Gold Mine Hill,37.741400,-122.437930,650,125,Residential. Some partially obstructed views.
Presidio Hill,37.793312,-122.463940,380,115,Inside the Presidio of San Francisco. Inaccessible due to a municipal water storage basin and WVY transmitter station on the summit. Nearest public access is from the Presidio Golf Course with decent southward views; nearest free access is along the Bay Area Ridge Trail.
Buena Vista Heights,37.767698,-122.441620,560,110,In Buena Vista Park. View almost completely obstructed by trees.
Corona Heights,37.764980,-122.439352,490,100,In Corona Heights Park. 360 degree views.
Castro Hill,37.754738,-122.435590,400,95,Residential.
